STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,83.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,72.01,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,12.96,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,72.01,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,84.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,12.96,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,84.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ARM,Armenia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,72.01,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,22.1,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,1.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,100.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,22.92,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,100.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,1.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,23.28,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,1.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUS,Australia,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,100.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,16.29,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,RANK,Rank,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,29.0,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,RANK,Rank,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,SCORE,Score,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,90.48,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AUT,Austria,WEF_GCI_SCHLIFEXPALL,GCI 4.0: School life expectancy (years),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,YR,Years,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,16.08,WEF_GCI,Global Competitiveness Index (GCI) 4.0,0,Units,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
